iter	Logloss
0	0.6792742877
1	0.6661739057
2	0.6532824657
3	0.6399384206
4	0.6281917805
5	0.6175040932
6	0.6061040424
7	0.5954477791
8	0.5864476505
9	0.5759017368
10	0.5655486047
11	0.5544400257
12	0.544882626
13	0.5360519833
14	0.5267377731
15	0.5190504825
16	0.510835311
17	0.5025135664
18	0.4944436037
19	0.4864348654
20	0.4798216603
21	0.472115055
22	0.4646327402
23	0.4576992845
24	0.4523932158
25	0.4465479298
26	0.4412320392
27	0.43637223
28	0.4317366947
29	0.4273851689
30	0.4226100457
31	0.4173425563
32	0.4124412622
33	0.4081884338
34	0.4036728058
35	0.3995494576
36	0.3953224733
37	0.3912815535
38	0.3871736493
39	0.3845041154
40	0.3820798945
41	0.380032511
42	0.3764362185
43	0.3727406682
44	0.3699561998
45	0.3671902379
46	0.364537832
47	0.3613341359
48	0.3583803097
49	0.3553538983
50	0.3533034255
51	0.3511207477
52	0.3487612551
53	0.3461639606
54	0.3438678663
55	0.3417275277
56	0.3403867275
57	0.3373562882
58	0.3349529515
59	0.3323020734
60	0.3299253407
61	0.3274900567
62	0.3255552761
63	0.323629938
64	0.3216336256
65	0.3195863907
66	0.3176197608
67	0.3160578087
68	0.3140999316
69	0.3123956108
70	0.3102319044
71	0.3084567072
72	0.3063443759
73	0.3048150212
74	0.3034482677
75	0.302043293
76	0.3010674609
77	0.2998095499
78	0.2982471221
79	0.2971039988
80	0.2955202002
81	0.2941644897
82	0.2927961838
83	0.2913185354
84	0.2894284246
85	0.2881932582
86	0.2866613522
87	0.2848628666
88	0.2832152035
89	0.2817722943
90	0.2804563608
91	0.2791106927
92	0.2777483576
93	0.2765658341
94	0.2755458364
95	0.2746025678
96	0.2733797044
97	0.2724995982
98	0.2713157242
99	0.2703403508
100	0.269625901
101	0.2686622357
102	0.267694606
103	0.2663937477
104	0.2654774572
105	0.2645335849
106	0.2636262327
107	0.2624698
108	0.2616886937
109	0.2605913444
110	0.2595464343
111	0.2587703946
112	0.2580877127
113	0.2570808184
114	0.2561270601
115	0.2552956254
116	0.2545989128
117	0.2536548124
118	0.2526476897
119	0.2517184072
120	0.2509289251
121	0.2502817411
122	0.2495598176
123	0.2486976732
124	0.2477707401
125	0.2468181377
126	0.2460374568
127	0.2454954763
128	0.2445068958
129	0.243745118
130	0.2431020316
131	0.2422476746
132	0.2414134308
133	0.2409309579
134	0.240197048
135	0.2395398382
136	0.2389173226
137	0.2382453065
138	0.237663461
139	0.2368517319
140	0.2363324654
141	0.2357005285
142	0.2351131089
143	0.2342779349
144	0.2337275167
145	0.2331135878
146	0.2325442651
147	0.2317146547
148	0.2310754334
149	0.230350474
150	0.2298895481
151	0.2293333367
152	0.2285660115
153	0.2275948864
154	0.2269802225
155	0.2263097339
156	0.2257902018
157	0.2252533042
158	0.2247451498
159	0.2244501986
160	0.2241348829
161	0.2236189218
162	0.2228273911
163	0.2221908489
164	0.2215481193
165	0.2211986411
166	0.220716525
167	0.2202822844
168	0.2195337117
169	0.2191404591
170	0.2187600588
171	0.218343049
172	0.2179717385
173	0.2174203117
174	0.2170413509
175	0.216498219
176	0.2161814214
177	0.2155397084
178	0.2151204991
179	0.2145718435
180	0.2140799561
181	0.2131681301
182	0.2126609409
183	0.212190924
184	0.2116374923
185	0.2112301404
186	0.2108495733
187	0.2101566565
188	0.2095494456
189	0.2091113256
190	0.208692434
191	0.2082184158
192	0.2076394074
193	0.2071701411
194	0.2068283989
195	0.2063245163
196	0.2058802404
197	0.2054560344
198	0.204930367
199	0.2044993381
200	0.2041439494
201	0.2036038436
202	0.2032182185
203	0.202876102
204	0.2025151378
205	0.2022025571
206	0.2018336061
207	0.2013956989
208	0.2010405587
209	0.2007050102
210	0.2003986317
211	0.1999192313
212	0.199443048
213	0.1992098273
214	0.1985954258
215	0.198308515
216	0.1978601854
217	0.1975177665
218	0.1972727791
219	0.1967109222
220	0.1961992279
221	0.1958689211
222	0.1955064334
223	0.1951308599
224	0.194766712
225	0.1943267154
226	0.1939100562
227	0.1933914523
228	0.1930980265
229	0.1925995951
230	0.1921787529
231	0.1917892889
232	0.191336796
233	0.1910799341
234	0.1906514083
235	0.1902167286
236	0.1894636753
237	0.1891686336
238	0.1888565851
239	0.1885148279
240	0.1882239471
241	0.1879518599
242	0.1877160215
243	0.1874062771
244	0.187044727
245	0.1865446067
246	0.1862206406
247	0.1859371425
248	0.1855810866
249	0.1852408087
250	0.1848865303
251	0.1846447935
252	0.1843600002
253	0.1840054701
254	0.1837130301
255	0.1833101306
256	0.1828097989
257	0.1825248277
258	0.1821477038
259	0.1818786092
260	0.1814241873
261	0.1811693398
262	0.1808205094
263	0.1803834767
264	0.1799885014
265	0.1796363076
266	0.1793313629
267	0.1789338898
268	0.1788541978
269	0.1785869048
270	0.1783399467
271	0.177894433
272	0.1776149004
273	0.1773465428
274	0.1771171555
275	0.176994059
276	0.176627995
277	0.1763561768
278	0.1760468282
279	0.1757142525
280	0.1754448534
281	0.1751366043
282	0.1748347895
283	0.1744950995
284	0.1742608256
285	0.1739838383
286	0.1736775929
287	0.1734605456
288	0.173301258
289	0.1730859638
290	0.1727777131
291	0.1723918038
292	0.1721636168
293	0.1719048648
294	0.1717430309
295	0.1713911319
296	0.1711948835
297	0.1710068746
298	0.1707138063
299	0.1703531824
300	0.1701485704
301	0.1699130089
302	0.1696584596
303	0.1693117072
304	0.1691090243
305	0.168738723
306	0.168472468
307	0.1681752829
308	0.1679627768
309	0.1676700806
310	0.1674799956
311	0.1672482785
312	0.166797829
313	0.1665731562
314	0.1663863867
315	0.1662192972
316	0.1658079631
317	0.1654671573
318	0.1652056967
319	0.165000878
320	0.1647431277
321	0.1645022559
322	0.1641362026
323	0.1639065658
324	0.1635916482
325	0.1632777894
326	0.1629469269
327	0.162625833
328	0.1622410192
329	0.1618901974
330	0.1615903956
331	0.161423123
332	0.1611834654
333	0.1609250187
334	0.1606743594
335	0.1603707837
336	0.1601892306
337	0.1599272061
338	0.1597207637
339	0.1594227387
340	0.1589934338
341	0.1586891618
342	0.1582773426
343	0.1579497603
344	0.1577637268
345	0.1575173437
346	0.1572590601
347	0.1570660795
348	0.1568299753
349	0.1565486025
350	0.1561862125
351	0.156031638
352	0.1558015741
353	0.1555180678
354	0.1552569034
355	0.1550399428
356	0.1546457316
357	0.1543331404
358	0.1540143635
359	0.1538611421
360	0.1535921457
361	0.1534575149
362	0.1531796808
363	0.1529821065
364	0.1528176376
365	0.1525709571
366	0.152260194
367	0.1520760034
368	0.1518379121
369	0.1517331706
370	0.1515276584
371	0.1513572857
372	0.151135153
373	0.1508805978
374	0.150661209
375	0.1504303563
376	0.1501999709
377	0.1500268904
378	0.1497645343
379	0.1495380565
380	0.1493480003
381	0.1490938018
382	0.1488438531
383	0.1485859232
384	0.1483950424
385	0.1483018958
386	0.1480803667
387	0.1479334679
388	0.1476561577
389	0.1475429095
390	0.1474474988
391	0.1471571698
392	0.1468511548
393	0.1467201577
394	0.1464210878
395	0.1462619797
396	0.1461351964
397	0.1458747534
398	0.1457263523
399	0.1454115807
400	0.1451022046
401	0.1448713111
402	0.1447152379
403	0.144363687
404	0.1440855094
405	0.143938759
406	0.1436244155
407	0.1433884971
408	0.1430926413
409	0.1429591743
410	0.1427487368
411	0.1424039809
412	0.14227094
413	0.1420703889
414	0.1419048469
415	0.1416139628
416	0.1414406577
417	0.1412662102
418	0.1410526754
419	0.1407479272
420	0.1405720316
421	0.1403354752
422	0.1401995789
423	0.1398917834
424	0.1396756474
425	0.139416829
426	0.1392555511
427	0.1391681007
428	0.1390298645
429	0.1388619177
430	0.138531053
431	0.1382446011
432	0.1380284608
433	0.1379099995
434	0.137828494
435	0.1376778359
436	0.1375429067
437	0.1373282351
438	0.1370480881
439	0.1369619731
440	0.1368127089
441	0.1366285345
442	0.1364531076
443	0.136144602
444	0.1358578591
445	0.1357204666
446	0.1355655235
447	0.1353659796
448	0.1351250889
449	0.1349563718
450	0.1346761628
451	0.1345302684
452	0.1343611233
453	0.1341822743
454	0.1339487419
455	0.1338079242
456	0.1336565608
457	0.1335210779
458	0.1333379933
459	0.1330748964
460	0.132882988
461	0.1327177086
462	0.1324744042
463	0.1322767133
464	0.1321289954
465	0.1319171877
466	0.1317467797
467	0.1314742086
468	0.1312130624
469	0.1310108479
470	0.1308340765
471	0.1306996487
472	0.1305858331
473	0.1304278519
474	0.1303230424
475	0.1301807058
476	0.130003559
477	0.1298019139
478	0.1296108173
479	0.1294975151
480	0.1294836164
481	0.1293807857
482	0.1291959312
483	0.1290016484
484	0.1289044843
485	0.1286923868
486	0.1285459315
487	0.1283967812
488	0.1280528796
489	0.1279184975
490	0.1277473984
491	0.1275758041
492	0.1273812804
493	0.1271637215
494	0.126937523
495	0.1268585221
496	0.1266473173
497	0.1264261289
498	0.126259408
499	0.1260949924
500	0.125895809
501	0.12572916
502	0.1254874847
503	0.1253104957
504	0.1251427756
505	0.1250226063
506	0.1248637635
507	0.1247905908
508	0.1246568482
509	0.1244369416
510	0.1243528768
511	0.1241909425
512	0.1239108494
513	0.1237516334
514	0.1235220085
